time-point	#client-msg	#server-msg	client-bytes	server-bytes	avg-client-bytes	avg-server-bytes
2018-02-08 17:30:06	38	20	1590	820	41.84	41.00	0317	41	storm	alive
2018-02-08 17:30:07	41	20	1465	948	35.73	47.40	0318	41	storm	alive
2018-02-08 17:30:08	39	19	1383	771	35.46	40.58	0319	41	storm	alive
2018-02-08 17:30:09	42	20	1562	1220	37.19	61.00	0320	41	storm	alive
2018-02-08 17:30:10	41	20	1721	948	41.98	47.40	0321	41	storm	alive
2018-02-08 17:30:11	44	20	1548	1076	35.18	53.80	0322	41	storm	alive
2018-02-08 17:30:12	41	20	1481	1668	36.12	83.40	0323	41	storm	alive
2018-02-08 17:30:13	42	20	1594	1476	37.95	73.80	0324	40	storm	alive
2018-02-08 17:30:14	44	20	1500	1412	34.09	70.60	0325	40	storm	alive
2018-02-08 17:30:15	41	20	1577	996	38.46	49.80	0326	40	storm	alive
2018-02-08 17:30:16	41	20	1449	788	35.34	39.40	0327	40	storm	alive
2018-02-08 17:30:17	40	20	1352	756	33.80	37.80	0328	39	storm	alive
2018-02-08 17:30:18	42	20	1434	884	34.14	44.20	0329	39	storm	alive
2018-02-08 17:30:19	38	20	1366	1012	35.95	50.60	0330	39	storm	alive
2018-02-08 17:30:20	39	20	1495	1060	38.33	53.00	0331	39	storm	alive
2018-02-08 17:30:21	38	20	1318	1092	34.68	54.60	0332	39	storm	alive
2018-02-08 17:30:22	38	20	1462	1060	38.47	53.00	0333	39	storm	alive
2018-02-08 17:30:23	38	20	1462	884	38.47	44.20	0334	39	storm	alive
2018-02-08 17:30:24	40	20	1400	916	35.00	45.80	0335	39	storm	alive
2018-02-08 17:30:25	37	20	1525	868	41.22	43.40	0336	39	storm	alive
2018-02-08 17:30:26	36	20	1492	932	41.44	46.60	0337	39	storm	alive
2018-02-08 17:30:27	38	19	1622	1027	42.68	54.05	0338	39	storm	alive
2018-02-08 17:30:28	38	20	1622	916	42.68	45.80	0339	39	storm	alive
2018-02-08 17:30:29	39	20	1591	948	40.79	47.40	0340	39	storm	alive
2018-02-08 17:30:30	37	20	1637	1012	44.24	50.60	0341	39	storm	alive
2018-02-08 17:30:31	36	20	1540	1060	42.78	53.00	0342	39	storm	alive
2018-02-08 17:30:32	35	20	1475	1188	42.14	59.40	0343	39	storm	alive
2018-02-08 17:30:33	38	21	2022	2549	53.21	121.38	0344	39	storm	alive
2018-02-08 17:30:34	37	20	1525	1140	41.22	57.00	0345	39	storm	alive
2018-02-08 17:30:35	36	20	1604	900	44.56	45.00	0346	39	storm	alive
2018-02-08 17:30:36	36	20	1588	820	44.11	41.00	0347	39	storm	alive
2018-02-08 17:30:37	36	20	1556	1364	43.22	68.20	0348	39	storm	alive
2018-02-08 17:30:38	36	20	1700	1332	47.22	66.60	0349	39	storm	alive
2018-02-08 17:30:39	37	20	1797	980	48.57	49.00	0350	39	storm	alive
2018-02-08 17:30:40	38	20	1814	1156	47.74	57.80	0351	39	storm	alive
2018-02-08 17:30:41	36	20	1700	1204	47.22	60.20	0352	39	storm	alive
2018-02-08 17:30:42	44	20	1580	1476	35.91	73.80	0353	39	storm	alive
